步道名稱,地區,難度,所需時間,連結,圖片連結
合歡北峰步道,"南投縣仁愛鄉,花蓮縣秀林鄉",低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=288,https://cdntwrunning.biji.co/300_126f1e7abffe01d950c52d7b4de9bdcef36d7aebdc6d1cb93bbd8324ee8146a7.jpg
合歡石門山步道,"南投縣仁愛鄉,花蓮縣秀林鄉",低,1 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=413,https://cdntwrunning.biji.co/300_69fc728b202acaf4f2a86e65ca835469.jpg
合歡東峰步道,"南投縣仁愛鄉,花蓮縣秀林鄉",低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=287,https://cdntwrunning.biji.co/300_acfba5d425f97528c273b948ecdfbd3611b251dcda6db1d6b4fe74a2e3758c50.jpg
合歡主峰步道,"南投縣仁愛鄉,花蓮縣秀林鄉",低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=289,https://cdntwrunning.biji.co/300_3752543254f0c6589b0babf4401f98293404299b005dc77bc0ae9595950d00a3.jpg
玉山主峰步道,"南投縣信義鄉,高雄市桃源區",中,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=299,https://cdntwrunning.biji.co/300_b0e9902c4a7b6a7164ff32f0a80e9ce27e8ace627fb20ae7dfd7021891452a07.jpg
雪山主東峰步道,"苗栗縣泰安鄉,臺中市和平區",中,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=431,https://cdntwrunning.biji.co/300_e2cbc2dee68b0f261378d30f9cac8708d9075304b1811e072094713cad1e3ab9.jpg
奇萊南峰步道、南華山步道(奇萊南華) ,"南投縣仁愛鄉,花蓮縣秀林鄉",中,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=430,https://cdntwrunning.biji.co/300_08640ca1f9cd0459f389d533eac56d6d566899549e3001f715733350dcdfd880.jpg
嘉明湖步道,臺東縣海端鄉,中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=347,https://cdntwrunning.biji.co/300_26364cdd987ea1909f5c2358e1f6e1798357aecf1eefbb3e7882ee69428f8d34.jpg
北大武山步道,"屏東縣瑪家鄉,屏東縣泰武鄉,臺東縣金峰鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=338,https://cdntwrunning.biji.co/300_ec65956b52bc8ccaea1a9ab59dc48e2dd03a05ef7737f03a542c3d883df8622e.jpg
合歡西峰登山山徑(合歡北西),"南投縣仁愛鄉,花蓮縣秀林鄉",中,10 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=536,https://cdntwrunning.biji.co/300_4964146b748a61f46b09567cbf5cef8bdcbfcedd1ddae8f13ba608b0a6bbe477.jpg
大霸群峰登山步道(大鹿林道線),"新竹縣尖石鄉,苗栗縣泰安鄉",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=242,https://cdntwrunning.biji.co/300_e0be7082dea42849097b7dbbbc9f2c5d8b48b92976c5a10e6f26c588fd2f55f4.jpg
玉山前峰登山山徑,"南投縣信義鄉,嘉義縣阿里山鄉",低-中,4 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1047,https://cdntwrunning.biji.co/300_a45454b7c2a7042b404b5f518a87922d.jpg
武陵四秀登山步道,"新竹縣尖石鄉,臺中市和平區,宜蘭縣大同鄉",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=540,https://cdntwrunning.biji.co/300_591c885e8f25db1e59d19000c2c23a63598e468887fff1a7df3d7386d501ecad.jpg
桃山登山山徑,"新竹縣尖石鄉,臺中市和平區",中,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=429,https://cdntwrunning.biji.co/300_15ce61d90c089c064ae0cbbeac0f6de943369747fce3b1ba9eb168c7376c4ee9.jpg
奇萊主山、奇萊北峰步道(奇萊主北),"南投縣仁愛鄉,花蓮縣秀林鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=542,https://cdntwrunning.biji.co/300_a183ea5912b5bb4da8a5ef7c2ffb41837157bcf3bbfa3735e7adebf803b5c4bf.jpg
郡大山、望鄉山登山步道,南投縣信義鄉,低-中,5 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=500,https://cdntwrunning.biji.co/300_2b058859805379ce281199ad4d1cb56a.jpg
南湖群峰登山步道,"臺中市和平區,宜蘭縣南澳鄉,花蓮縣秀林鄉",高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=547,https://cdntwrunning.biji.co/300_3c39f355bf8e6461c6222f5b64e4e652.jpg
畢祿山登山山徑,"南投縣仁愛鄉,花蓮縣秀林鄉",中,12 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=535,https://cdntwrunning.biji.co/300_85fd41438082b40c99213b684f11b28f2e41d969c0eb82faa0995674c6043ae3.jpg
台灣池步道(合歡北峰+小溪營地+北峰名樹),"南投縣仁愛鄉,花蓮縣秀林鄉",低-中,4 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=690,https://cdntwrunning.biji.co/300_b619469a49c9010140042c8f075ec5a4.jpg
志佳陽大山登山步道,臺中市和平區,中,12 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=531,https://cdntwrunning.biji.co/300_fdd6b85476775b772b6c2aa3d0ee7e37214a184289fe987338637464e250896b.jpg
羊頭山登山山徑,花蓮縣秀林鄉,中,9 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=482,https://cdntwrunning.biji.co/300_51eee7e791bd14ccf14cf1db4451cd01.jpg
西巒大山登山山徑,南投縣信義鄉,中,10 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=617,https://cdntwrunning.biji.co/300_178c1931b45a2da887ef1960117d7247.jpg
玉山西峰步道,"南投縣信義鄉,嘉義縣阿里山鄉",中,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1046,https://cdntwrunning.biji.co/300_f5703a5e56f8c1151b6755444c9094b0.jpeg
雪山下翠池,"苗栗縣泰安鄉,臺中市和平區",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=691,https://cdntwrunning.biji.co/300_a94300c3b7ed48cbe6aaffd1f4fb4baf.jpg
玉山前五峰登山步道,"南投縣信義鄉,嘉義縣阿里山鄉,高雄市桃源區",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=591,https://cdntwrunning.biji.co/300_02d18e0dd865e50a4892cc490e213881.jpg
畢羊縱走(畢祿羊頭縱走),"南投縣仁愛鄉,花蓮縣秀林鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=655,https://cdntwrunning.biji.co/300_352b1d6edcc5299926b16d1e632c6f87.jpg
玉山群峰線,"南投縣信義鄉,嘉義縣阿里山鄉,高雄市桃源區",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=621,https://cdntwrunning.biji.co/300_b0c1749b47f5dfd362a0d898c7015f1b.jpg
屏風山登山山徑,花蓮縣秀林鄉,中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=656,https://cdntwrunning.biji.co/300_dafd837d47c2f6867dac53034cbcf34c.jpg
白姑大山登山步道,"臺中市和平區,南投縣仁愛鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=653,https://cdntwrunning.biji.co/300_ee7420cf2e6fa5b95fc3a9b759032fb6.jpg
閂山、鈴鳴山步道,"臺中市和平區,花蓮縣秀林鄉",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=532,https://cdntwrunning.biji.co/300_6f3619301caec3aa1aadcb97b590fba0e0181dffbe799914f4213726cd130ffb.jpg
