步道名稱,地區,難度,所需時間,連結,圖片連結
象山親山步道,臺北市信義區,低,1 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=76,https://cdntwrunning.biji.co/300_7885322f41fd94d458c5a5c9f4b4ba1b59ba5bc13777a4c144a25c7da3dd7dfd.jpg
七星山主峰、東峰步道,臺北市北投區,低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=54,https://cdntwrunning.biji.co/300_0aa2cd4a2c6ac39fce343acf5c08b2487b2f2d15d4391851746a4509086b3085.jpg
草嶺古道,"新北市貢寮區,宜蘭縣頭城鎮",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=171,https://cdntwrunning.biji.co/300_d30308921f01974aea59e342da8bd592aec3d432df1c32dd718f6ae89873b831.jpg
硬漢嶺步道(觀音山),"新北市五股區,新北市八里區",低,1 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=108,https://cdntwrunning.biji.co/300_3442616e7dcc0658406c51f91537021de9e9aabdf49d967d04c4c8ddf9c49976.jpg
東眼山自導式步道,桃園市復興區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=228,https://cdntwrunning.biji.co/300_02614642b073495c4cae1be8abfe4fb806745fa4975dfa8102c143e19c7ab9dc.jpg
忘憂谷步道,基隆市,低,1 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=30,https://cdntwrunning.biji.co/300_b6703a2de0311d90be099ae0de355e1a.jpg
合歡北峰步道,"南投縣仁愛鄉,花蓮縣秀林鄉",低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=288,https://cdntwrunning.biji.co/300_126f1e7abffe01d950c52d7b4de9bdcef36d7aebdc6d1cb93bbd8324ee8146a7.jpg
無耳茶壺山步道,新北市瑞芳區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=400,https://cdntwrunning.biji.co/300_b5bd3b2c6afb705fd818191db0391e64916a84a56f1d2e0ad91ecc1997987160.jpg
軍艦岩、丹鳳山親山步道,臺北市北投區,低,2 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=74,https://cdntwrunning.biji.co/300_c260524db115ecdf9540cad7f92840b1.jpg
金面山親山步道,臺北市內湖區,低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=41,https://cdntwrunning.biji.co/300_68d42b4c7b34cab1ec78f01ba2ed5dda8f78d18ef607a5781f077bf463d66e43.jpg
鳶嘴稍來山國家步道,臺中市和平區,中,9 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=264,https://cdntwrunning.biji.co/300_f6def663515e7e4894ef59e725879d42138286afeee6d9c78177e66fdf10c938.jpg
鼻頭角步道,新北市瑞芳區,低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=194,https://cdntwrunning.biji.co/300_08960450a442e2cfbd009fd1845840a2d1caa29352506ce0bb60dbbf57702830.jpg
砂卡礑步道,花蓮縣秀林鄉,低,3 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=355,https://cdntwrunning.biji.co/300_962630f66c562a1700aac2b551bc0eca7785f39919896a4451b6085f58231728.jpg
拉拉山神木群步道,"新北市烏來區,桃園市復興區",低,1 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=446,https://cdntwrunning.biji.co/300_4472dd5083fc7a70847c3c775430d4d3.jpg
加里山登山步道,苗栗縣南庄鄉,中,7 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=249,https://cdntwrunning.biji.co/300_50fee495f3e503c8e3671c3d6b3cd1fd.jpg
見晴懷古步道,宜蘭縣大同鄉,低,50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=370,https://cdntwrunning.biji.co/300_ce7d6201af22fc4e89b11bdc996c7b4d38eabe7e79ab3c9b7bf437456b4147f4.jpg
特富野古道,嘉義縣阿里山鄉,低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=315,https://cdntwrunning.biji.co/300_7caeed2699e926b94c1934af353a0e77d6ecac8a1198ab0ed2e8ea65eb83c3d7.jpg
馬那邦山登山步道,"苗栗縣大湖鄉,苗栗縣泰安鄉",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=247,https://cdntwrunning.biji.co/300_ee945eb27c58d2e9ff76f49859507b964a1ddfb20d6e580be5d05c4496e47472.jpg
火炎山、南鞍古道O走,苗栗縣三義鄉,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=387,https://cdntwrunning.biji.co/300_378daeff5af2c9f53725808e90c14ef743c8b4f3f97fca750b00d98bc8dd66b3.jpg
奮起湖大凍山步道,"嘉義縣梅山鄉,嘉義縣竹崎鄉,嘉義縣阿里山鄉",低,2 小時 5 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=309,https://cdntwrunning.biji.co/300_124117f5f4b15ee8f6d4b47602bf5db03aa3a7f364f6a29a7f8f5e3c43bd79e2.jpg
五寮尖登山步道,新北市三峽區,中,5 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=88,https://cdntwrunning.biji.co/300_bd23797b37bcafa0afbfc26b6f2d53e6e5280c1535707e436ab296df0621cd3d.jpg
玉山主峰步道,"南投縣信義鄉,高雄市桃源區",中,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=299,https://cdntwrunning.biji.co/300_b0e9902c4a7b6a7164ff32f0a80e9ce27e8ace627fb20ae7dfd7021891452a07.jpg
聖母登山步道（抹茶山）,宜蘭縣礁溪鄉,低-中,5 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=382,https://cdntwrunning.biji.co/300_0fd5720de6a492a9f8a811d8e873cb6d79e1157774fd10a50e9943890ef8d25f.jpg
翠峰湖環山步道,宜蘭縣大同鄉,低,2 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=373,https://cdntwrunning.biji.co/300_cb58716ac03bff6846ff9ae5fd928934a1b6a8fc0a351b6758fbb78afa559da1.jpg
