步道名稱,地區,難度,所需時間,連結,圖片連結
七星山主峰、東峰步道,臺北市北投區,低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=54,https://cdntwrunning.biji.co/300_0aa2cd4a2c6ac39fce343acf5c08b2487b2f2d15d4391851746a4509086b3085.jpg
硬漢嶺步道(觀音山),"新北市五股區,新北市八里區",低,1 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=108,https://cdntwrunning.biji.co/300_3442616e7dcc0658406c51f91537021de9e9aabdf49d967d04c4c8ddf9c49976.jpg
東眼山自導式步道,桃園市復興區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=228,https://cdntwrunning.biji.co/300_02614642b073495c4cae1be8abfe4fb806745fa4975dfa8102c143e19c7ab9dc.jpg
劍潭山親山步道,臺北市士林區,低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=34,https://cdntwrunning.biji.co/300_e783644fde5256a770b1517c2686cb068c0631385541ed1d72f414d789505f90.jpg
鳶嘴稍來山國家步道,臺中市和平區,中,9 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=264,https://cdntwrunning.biji.co/300_f6def663515e7e4894ef59e725879d42138286afeee6d9c78177e66fdf10c938.jpg
大屯主峰步道,臺北市北投區,低-中,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=69,https://cdntwrunning.biji.co/300_076cf647aa670dfe0b0f8cf5d79d546e3968b264ffffca6ba63e3c4f44688d59.jpg
烘爐地登山步道(南勢角山),新北市中和區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=105,https://cdntwrunning.biji.co/300_5f03765c537cb5781260c8a198eb9a7cbe514b70ea984f563d466029fc730153.jpg
加里山登山步道,苗栗縣南庄鄉,中,7 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=249,https://cdntwrunning.biji.co/300_50fee495f3e503c8e3671c3d6b3cd1fd.jpg
馬那邦山登山步道,"苗栗縣大湖鄉,苗栗縣泰安鄉",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=247,https://cdntwrunning.biji.co/300_ee945eb27c58d2e9ff76f49859507b964a1ddfb20d6e580be5d05c4496e47472.jpg
火炎山、南鞍古道O走,苗栗縣三義鄉,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=387,https://cdntwrunning.biji.co/300_378daeff5af2c9f53725808e90c14ef743c8b4f3f97fca750b00d98bc8dd66b3.jpg
奮起湖大凍山步道,"嘉義縣梅山鄉,嘉義縣竹崎鄉,嘉義縣阿里山鄉",低,2 小時 5 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=309,https://cdntwrunning.biji.co/300_124117f5f4b15ee8f6d4b47602bf5db03aa3a7f364f6a29a7f8f5e3c43bd79e2.jpg
聖母登山步道（抹茶山）,宜蘭縣礁溪鄉,低-中,5 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=382,https://cdntwrunning.biji.co/300_0fd5720de6a492a9f8a811d8e873cb6d79e1157774fd10a50e9943890ef8d25f.jpg
